"game_id","season","team","opponent","spread_line","coach","roof","ats_win","location","epa","pass_yds_per_attempt","rush_yds_per_attempt","int","fumbles_lost","penalty_yards","def_epa","def_pass_yds_per_attempt","def_rush_yds_per_attempt","def_int","forced_fumbles","def_penlty_yards"
"2001_03_GB_CAR",2001,"CAR","GB",-3.5,"George Seifert","outdoors","lose","home",-0.219486364484183,8.88888888888889,2.11764705882353,1,0,0,0.134876884775839,12.32,2.53333333333333,2,0,0
"2001_03_TB_MIN",2001,"MIN","TB",-2.5,"Dennis Green","dome","win","home",0.13538020400182,10.7333333333333,3.75,2,0,0,0.109803985996532,11.2,6.75,1,0,6
"2001_03_IND_NE",2001,"NE","IND",-11.5,"Bill Belichick","outdoors","win","home",0.14204502203284,12.9230769230769,4.53846153846154,0,0,4,-0.290733261116898,10.12,3.41666666666667,3,1,15
"2001_03_NO_NYG",2001,"NYG","NO",3,"Jim Fassel","outdoors","win","home",0.00752483977018582,15,5.46428571428571,0,1,5,-0.0676543681565652,10.3928571428571,3.36363636363636,1,0,70
"2001_03_KC_WAS",2001,"WAS","KC",-3,"Marty Schottenheimer","outdoors","lose","home",-0.128283275301694,10.5454545454545,5.55,1,0,0,0.511466829703727,14.4583333333333,5.26315789473684,0,0,0
"2001_03_ATL_ARI",2001,"ARI","ATL",-3,"Dave McGinnis","outdoors","lose","home",-0.0781426441166005,12,6,3,1,30,0.273273012989761,14.3,3.26470588235294,0,0,0
"2001_03_BAL_DEN",2001,"DEN","BAL",4.5,"Mike Shanahan","outdoors","lose","home",-0.343680921778768,11.2352941176471,2.54166666666667,2,1,0,-0.0497675714771229,13,3.29411764705882,1,0,11
"2001_03_CLE_JAX",2001,"JAX","CLE",8.5,"Tom Coughlin","outdoors","lose","home",-0.308105886562086,8.94736842105263,5.15789473684211,2,0,30,-0.183601497288175,10.375,2.63888888888889,1,2,35
"2001_03_DAL_PHI",2001,"PHI","DAL",13.5,"Andy Reid","outdoors","win","home",-0.0567609874375286,11.5714285714286,4.36666666666667,0,1,0,-0.30198471836141,7,6.03333333333333,1,2,29
"2001_03_SF_NYJ",2001,"NYJ","SF",3,"Herm Edwards","outdoors","lose","home",0.0983973360807501,16.8333333333333,3.56521739130435,0,0,0,0.100513511635639,8.8125,5.41860465116279,0,1,10
"2001_04_CHI_ATL",2001,"ATL","CHI",3.5,"Dan Reeves","dome","lose","home",-0.428276245060506,13.7368421052632,4.12,3,2,0,0.0124235611819447,12.7777777777778,3.29166666666667,2,0,10
"2001_04_TEN_BAL",2001,"BAL","TEN",3.5,"Brian Billick","outdoors","win","home",0.0898162440583485,17.2666666666667,5.175,0,0,0,-0.376579068378358,9.05882352941176,2.76470588235294,2,0,15
"2001_04_SD_CLE",2001,"CLE","SD",-3,"Butch Davis","outdoors","win","home",-0.0624141247693407,14.5,3.12903225806452,0,1,25,-0.0703148811826702,8.76470588235294,4.84615384615385,0,0,0
"2001_04_NE_MIA",2001,"MIA","NE",9.5,"Dave Wannstedt","outdoors","win","home",0.0163997611621143,7.90909090909091,4.75,1,0,0,-0.291330691413964,7.16666666666667,3.47826086956522,0,2,15
"2001_04_MIN_NO",2001,"NO","MIN",3.5,"Jim Haslett","dome","win","home",-0.0350530446049322,14,4.32432432432432,1,0,34,-0.0877479533454976,14.4347826086957,3.09090909090909,1,2,15
"2001_04_WAS_NYG",2001,"NYG","WAS",14,"Jim Fassel","outdoors","push","home",-0.168302393248895,11.8,3.08695652173913,2,1,10,-0.622597060495158,11.6153846153846,3.35294117647059,2,2,0
"2001_04_ARI_PHI",2001,"PHI","ARI",14.5,"Andy Reid","outdoors","lose","home",0.0354853612809213,14.7368421052632,5.96666666666667,1,1,10,0.0991208722306672,13.2222222222222,3.46428571428571,1,0,7
"2001_04_CIN_PIT",2001,"PIT","CIN",5,"Bill Cowher","outdoors","win","home",-0.068408440828061,10.0666666666667,6.875,0,2,10,-0.106256080773872,8.63157894736842,3.0952380952381,1,0,0
"2001_04_NYJ_BUF",2001,"BUF","NYJ",-4.5,"Gregg Williams","outdoors","lose","home",-0.0162840463220389,12.5,5.0625,2,3,19,0.189521285780836,11.5333333333333,5.0625,0,0,3
"2001_04_KC_DEN",2001,"DEN","KC",10,"Mike Shanahan","outdoors","win","home",-0.0227948095439758,11,5.05128205128205,1,0,10,-0.248541327548258,11.32,2.47058823529412,4,0,8
"2001_04_JAX_SEA",2001,"SEA","JAX",-3.5,"Mike Holmgren","outdoors","win","home",0.172213350862809,14.6,5.13888888888889,1,0,0,-0.220030586795761,11.0952380952381,2.71428571428571,0,2,10
"2001_04_GB_TB",2001,"TB","GB",3,"Tony Dungy","outdoors","win","home",-0.0353058899231807,8,5.21052631578947,0,1,0,-0.175267891852297,12.9,3.33333333333333,3,0,0
"2001_04_CAR_SF",2001,"SF","CAR",6.5,"Steve Mariucci","outdoors","win","home",0.0109081927510592,12.4705882352941,4.28571428571429,1,0,0,-0.0665158136016544,9.48275862068965,3.8125,3,0,55
"2001_04_STL_DET",2001,"DET","STL",-12.5,"Marty Mornhinweg","dome","lose","home",-0.392906540521051,10.0769230769231,5.83333333333333,2,1,30,0.224112961770793,10.0344827586207,4.47619047619048,0,1,0
"2001_05_SF_ATL",2001,"ATL","SF",-3,"Dan Reeves","dome","lose","home",0.126231146969274,14.1052631578947,3.66666666666667,1,0,15,0.276488529178333,12.2962962962963,5.34285714285714,0,2,15
"2001_05_NO_CAR",2001,"CAR","NO",-5,"George Seifert","outdoors","win","home",-0.406539573288448,9.33333333333333,1.84210526315789,1,2,0,-0.0124683793275007,12.8571428571429,5.07692307692308,1,1,15
"2001_05_ARI_CHI",2001,"CHI","ARI",7,"Dick Jauron","outdoors","push","home",-0.00331995123811905,7.73333333333333,4.28125,2,0,0,-0.15815343670426,10.8,3.28,0,1,20
"2001_05_CLE_CIN",2001,"CIN","CLE",1.5,"Dick LeBeau","outdoors","win","home",0.0702020143379645,10.05,4.73809523809524,0,0,43,-0.114969774811761,13.8571428571429,2.10526315789474,0,1,22
"2001_05_BAL_GB",2001,"GB","BAL",0,"Mike Sherman","outdoors","win","home",0.158725696213567,12.4814814814815,2.5,0,1,0,-0.0318024977093657,13,4.64705882352941,2,2,0
"2001_05_PIT_KC",2001,"KC","PIT",2.5,"Dick Vermeil","outdoors","lose","home",-0.112211019158664,7.9375,6.875,1,0,15,0.0564667584821712,9.4,5.8,0,0,30
"2001_05_DET_MIN",2001,"MIN","DET",10,"Dennis Green","dome","lose","home",0.196724920029265,12.2,5.37037037037037,1,0,15,0.17311071963375,11.1290322580645,6.45,0,1,0
"2001_05_SD_NE",2001,"NE","SD",-3,"Bill Belichick","outdoors","win","home",0.00636212488765972,11.030303030303,1.20833333333333,0,1,5,0.0362525426200714,13.5,3.14814814814815,0,1,5
"2001_05_TB_TEN",2001,"TEN","TB",3,"Jeff Fisher","outdoors","push","home",0.147996429281957,13.2777777777778,3.46341463414634,1,0,20,0.0777725668817498,11.9583333333333,1.41176470588235,1,0,16
"2001_05_MIA_NYJ",2001,"NYJ","MIA",-3,"Herm Edwards","outdoors","win","home",0.151630096479686,11.2,5.12,0,0,5,0.0323174304562504,10.0416666666667,3.96551724137931,2,2,15
"2001_05_DEN_SEA",2001,"SEA","DEN",-6,"Mike Holmgren","outdoors","win","home",0.0256778308880073,9.16666666666667,4.025,0,1,21,-0.0511688106156633,8.70833333333333,4.6,3,0,30
"2001_05_OAK_IND",2001,"IND","OAK",3.5,"Jim Mora","dome","lose","home",-0.105558449911551,9.26923076923077,4.37037037037037,2,0,20,-0.0354611395111084,13.5,3.51724137931034,0,1,0
"2001_05_WAS_DAL",2001,"DAL","WAS",3,"Dave Campo","outdoors","lose","home",-0.0638818228895123,11.8,4.68888888888889,1,0,42,-0.0791597103694758,13.2,3.96153846153846,0,1,0
"2001_06_BUF_JAX",2001,"JAX","BUF",9,"Tom Coughlin","outdoors","lose","home",-0.203379486183359,9.375,5.47619047619048,2,0,0,0.0723260000385906,10.3478260869565,2.8,0,0,46
"2001_06_CHI_CIN",2001,"CIN","CHI",1,"Dick LeBeau","outdoors","lose","home",-0.153537181187993,12.8421052631579,1.66666666666667,1,0,0,0.249759373110832,10.0869565217391,6.34375,0,1,0
"2001_06_BAL_CLE",2001,"CLE","BAL",-7.5,"Butch Davis","outdoors","win","home",-0.0593072868694824,13.5454545454545,3.03448275862069,0,0,26,-0.179093736143455,9.7037037037037,4.18518518518519,2,1,14
"2001_06_TEN_DET",2001,"DET","TEN",-5.5,"Marty Mornhinweg","dome","win","home",-0.109726882642293,13.52,2.15789473684211,1,1,0,-0.0954934220554967,14.8125,3.09090909090909,2,0,20
"2001_06_NE_IND",2001,"IND","NE",10.5,"Jim Mora","dome","lose","home",0.0266683642712126,15.2272727272727,5.26470588235294,0,2,15,0.358469803501247,15.4117647058824,4.27586206896552,0,0,0
"2001_06_ATL_NO",2001,"NO","ATL",8,"Jim Haslett","dome","lose","home",-0.223247877573665,10.8260869565217,2.625,1,0,0,-0.0696456555755047,12.3333333333333,4.13333333333333,1,1,0
"2001_06_STL_NYJ",2001,"NYJ","STL",-7,"Herm Edwards","outdoors","lose","home",-0.0861542592084823,7.88888888888889,5.5,1,0,16,0.200843092972141,11.8421052631579,5.58823529411765,0,2,0
"2001_06_PIT_TB",2001,"TB","PIT",5,"Tony Dungy","outdoors","lose","home",-0.0394507531517928,11.7916666666667,3.36842105263158,1,0,0,0.17518190224752,12,6.5,2,1,0
"2001_06_CAR_WAS",2001,"WAS","CAR",-3.5,"Marty Schottenheimer","outdoors","win","home",-0.00912359753163459,20.3529411764706,3.5,1,1,0,-0.187242460816423,9.41666666666667,4.96,4,0,15
"2001_06_KC_ARI",2001,"ARI","KC",-2,"Dave McGinnis","outdoors","win","home",0.145890338838445,14.25,3.64864864864865,0,1,0,0.00213507353385413,16.7619047619048,5.95,2,0,0
"2001_06_GB_MIN",2001,"MIN","GB",-3,"Dennis Green","dome","win","home",0.120973712860589,10.2222222222222,5.55555555555556,0,1,0,-0.22517096340777,8.04761904761905,4.93333333333333,1,0,20
"2001_06_PHI_NYG",2001,"NYG","PHI",3,"Jim Fassel","outdoors","lose","home",-0.187578805964711,7.71428571428571,3.09677419354839,0,1,0,-0.16346578546687,10.2666666666667,4.55,1,0,13
"2001_07_IND_KC",2001,"KC","IND",-3,"Dick Vermeil","outdoors","lose","home",-0.0140885734539892,14.7272727272727,4.39130434782609,3,0,0,0.179971620538937,10.5789473684211,5.87878787878788,0,1,5
"2001_07_JAX_BAL",2001,"BAL","JAX",7.5,"Brian Billick","outdoors","lose","home",-0.0171062260812801,9.65217391304348,3.5625,1,0,15,0.101906207305215,12.24,5.4,0,1,0
"2001_07_NYJ_CAR",2001,"CAR","NYJ",-2.5,"George Seifert","outdoors","win","home",-0.375664394432622,6.33333333333333,4.38095238095238,1,0,0,-0.382475097647312,8.61904761904762,5.66666666666667,3,1,0
"2001_07_SF_CHI",2001,"CHI","SF",2,"Dick Jauron","outdoors","win","home",-0.0643057881991663,7.63333333333333,4.5,2,1,43,0.044181994997078,12.8095238095238,2.96428571428571,2,0,0
"2001_07_CIN_DET",2001,"DET","CIN",3,"Marty Mornhinweg","dome","lose","home",-0.225521569215947,11.95,2.9047619047619,2,1,44,0.142743151875263,12,6.05405405405405,2,0,10
