"game_id","team","wind","temp"
"2001_11_SF_IND","IND",NA,NA
"2001_11_BAL_JAX","JAX",7,79
"2001_11_SEA_KC","KC",5,49
"2001_11_WAS_PHI","PHI",20,69
"2001_11_PIT_TEN","TEN",6,63
"2001_11_NO_NE","NE",20,62
"2001_11_ARI_SD","SD",9,63
"2001_11_OAK_NYG","NYG",14,64
"2001_11_CHI_MIN","MIN",NA,NA
"2001_11_TB_STL","STL",NA,NA
"2001_12_PHI_KC","KC",7,35
"2001_12_IND_BAL","BAL",9,51
"2001_12_DET_CHI","CHI",13,51
"2001_12_TB_CIN","CIN",8,51
"2001_12_TEN_CLE","CLE",5,44
"2001_12_DEN_MIA","MIA",6,76
"2001_12_CAR_NO","NO",NA,NA
"2001_12_NE_NYJ","NYJ",10,53
"2001_12_MIN_PIT","PIT",0,46
"2001_12_SD_SEA","SEA",12,41
"2001_12_STL_ATL","ATL",NA,NA
"2001_12_ARI_OAK","OAK",20,58
"2001_12_DAL_WAS","WAS",9,52
"2001_12_BUF_SF","SF",25,45
"2001_12_GB_JAX","JAX",10,56
"2001_13_NO_ATL","ATL",NA,NA
"2001_13_CAR_BUF","BUF",6,40
"2001_13_JAX_CIN","CIN",8,42
"2001_13_NYG_DAL","DAL",5,47
"2001_13_CHI_GB","GB",12,33
"2001_13_TEN_MIN","MIN",NA,NA
"2001_13_CLE_NE","NE",15,37
"2001_13_SD_PHI","PHI",10,43
"2001_13_SF_STL","STL",NA,NA
"2001_13_DET_TB","TB",5,83
"2001_13_WAS_ARI","ARI",8,71
"2001_13_KC_OAK","OAK",15,54
"2001_13_NYJ_PIT","PIT",8,41
"2001_13_SEA_DEN","DEN",3,38
"2001_13_IND_MIA","MIA",6,74
"2001_14_ARI_NYG","NYG",18,46
"2001_14_OAK_SD","SD",8,62
"2001_14_NE_BUF","BUF",0,34
"2001_14_TB_CHI","CHI",10,45
"2001_14_JAX_CLE","CLE",8,44
"2001_14_MIN_DET","DET",NA,NA
"2001_14_ATL_IND","IND",NA,NA
"2001_14_DEN_KC","KC",0,49
"2001_14_CIN_NYJ","NYJ",7,40
"2001_14_PHI_WAS","WAS",0,46
"2001_14_MIA_SF","SF",0,52
"2001_14_DAL_SEA","SEA",20,46
"2001_14_GB_TEN","TEN",17,62
"2001_14_PIT_BAL","BAL",4,42
"2001_14_STL_NO","NO",NA,NA
"2001_15_TEN_OAK","OAK",6,52
"2001_15_MIA_NE","NE",14,36
"2001_15_PHI_SF","SF",8,51
"2001_15_BUF_ATL","ATL",NA,NA
"2001_15_CIN_BAL","BAL",0,46
"2001_15_STL_CAR","CAR",10,51
"2001_15_SD_KC","KC",15,28
"2001_15_JAX_MIN","MIN",NA,NA
"2001_15_SEA_NYG","NYG",7,43
"2001_15_DET_PIT","PIT",13,45
"2001_15_NO_TB","TB",9,74
"2001_15_CHI_WAS","WAS",14,51
"2001_15_DAL_ARI","ARI",5,58
"2001_15_CLE_GB","GB",15,24
"2001_15_NYJ_IND","IND",NA,NA
"2001_16_BAL_TB","TB",5,65
"2001_16_ARI_CAR","CAR",7,42
"2001_16_PIT_CIN","CIN",10,20
"2001_16_SF_DAL","DAL",5,35
"2001_16_CHI_DET","DET",NA,NA
"2001_16_MIN_GB","GB",14,19
"2001_16_KC_JAX","JAX",5,53
"2001_16_ATL_MIA","MIA",5,75
"2001_16_BUF_NYJ","NYJ",15,32
"2001_16_IND_STL","STL",NA,NA
"2001_16_CLE_TEN","TEN",6,28
"2001_16_NYG_PHI","PHI",16,31
"2001_16_OAK_DEN","DEN",3,24
"2001_16_SEA_SD","SD",8,63
"2001_16_WAS_NO","NO",NA,NA
"2001_17_DEN_IND","IND",NA,NA
"2001_17_NE_CAR","CAR",3,36
"2001_17_JAX_CHI","CHI",14,37
"2001_17_DAL_DET","DET",NA,NA
"2001_17_SF_NO","NO",NA,NA
"2001_17_GB_NYG","NYG",5,37
"2001_17_CLE_PIT","PIT",5,31
"2001_17_CIN_TEN","TEN",8,37
"2001_17_ARI_WAS","WAS",8,40
"2001_17_ATL_STL","STL",NA,NA
"2001_17_BUF_MIA","MIA",14,67
"2001_17_NYJ_OAK","OAK",3,55
"2001_17_KC_SEA","SEA",0,49
"2001_17_PHI_TB","TB",15,60
"2001_17_MIN_BAL","BAL",11,36
"2001_18_TB_PHI","PHI",10,46
"2001_18_NYJ_OAK","OAK",8,53
"2001_18_SF_GB","GB",4,28
"2001_18_BAL_MIA","MIA",8,73
"2001_19_PHI_CHI","CHI",8,31
"2001_19_OAK_NE","NE",3,25
"2001_19_BAL_PIT","PIT",10,21
"2001_19_GB_STL","STL",NA,NA
"2001_20_NE_PIT","PIT",16,50
"2001_20_PHI_STL","STL",NA,NA
"2001_21_STL_NE","NE",NA,NA
"2002_01_SF_NYG","NYG",7,73
"2002_01_NYJ_BUF","BUF",6,86
"2002_01_BAL_CAR","CAR",12,78
"2002_01_MIN_CHI","CHI",3,85
"2002_01_SD_CIN","CIN",7,90
"2002_01_KC_CLE","CLE",0,86
"2002_01_ATL_GB","GB",9,83
"2002_01_IND_JAX","JAX",16,85
"2002_01_DET_MIA","MIA",12,87
"2002_01_PHI_TEN","TEN",0,83
"2002_01_ARI_WAS","WAS",5,76
"2002_01_STL_DEN","DEN",4,83
"2002_01_SEA_OAK","OAK",7,70
"2002_01_NO_TB","TB",6,90
"2002_01_DAL_HOU","HOU",NA,NA
"2002_01_PIT_NE","NE",0,86
"2002_02_CHI_ATL","ATL",NA,NA
"2002_02_TB_BAL","BAL",0,78
"2002_02_DET_CAR","CAR",7,72
"2002_02_CIN_CLE","CLE",6,72
"2002_02_TEN_DAL","DAL",0,81
"2002_02_MIA_IND","IND",NA,NA
"2002_02_JAX_KC","KC",7,66
"2002_02_GB_NO","NO",NA,NA
"2002_02_NE_NYJ","NYJ",7,78
"2002_02_ARI_SEA","SEA",8,62
"2002_02_NYG_STL","STL",NA,NA
"2002_02_BUF_MIN","MIN",NA,NA
"2002_02_HOU_SD","SD",8,74
"2002_02_DEN_SF","SF",11,67
"2002_02_OAK_PIT","PIT",7,70
"2002_02_PHI_WAS","WAS",8,76
"2002_03_NO_CHI","CHI",6,53
"2002_03_IND_HOU","HOU",NA,NA
"2002_03_NYJ_MIA","MIA",12,90
"2002_03_CAR_MIN","MIN",NA,NA
"2002_03_KC_NE","NE",20,80
"2002_03_DAL_PHI","PHI",12,82
"2002_03_CLE_TEN","TEN",9,72
"2002_03_SD_ARI","ARI",0,100
"2002_03_BUF_DEN","DEN",3,59
"2002_03_GB_DET","DET",NA,NA
"2002_03_SEA_NYG","NYG",8,82
"2002_03_WAS_SF","SF",5,65
"2002_03_CIN_ATL","ATL",NA,NA
"2002_03_STL_TB","TB",6,79
"2002_04_CHI_BUF","BUF",12,66
"2002_04_NO_DET","DET",NA,NA
"2002_04_CAR_GB","GB",5,65
"2002_04_NYJ_JAX","JAX",6,87
"2002_04_MIA_KC","KC",10,76
"2002_04_HOU_PHI","PHI",10,64
"2002_04_CLE_PIT","PIT",0,64
"2002_04_DAL_STL","STL",NA,NA
"2002_04_NYG_ARI","ARI",13,90
"2002_04_TB_CIN","CIN",6,76
"2002_04_TEN_OAK","OAK",9,68
"2002_04_NE_SD","SD",8,67
"2002_04_MIN_SEA","SEA",6,59
"2002_04_DEN_BAL","BAL",0,71
"2002_05_TB_ATL","ATL",NA,NA
"2002_05_OAK_BUF","BUF",14,64
"2002_05_ARI_CAR","CAR",9,74
"2002_05_NYG_DAL","DAL",0,84
"2002_05_CIN_IND","IND",NA,NA
"2002_05_NE_MIA","MIA",10,87
"2002_05_PIT_NO","NO",NA,NA
"2002_05_WAS_TEN","TEN",6,74
"2002_05_SD_DEN","DEN",9,57
"2002_05_KC_NYJ","NYJ",10,66
"2002_05_PHI_JAX","JAX",10,87
"2002_05_STL_SF","SF",5,72
"2002_05_BAL_CLE","CLE",8,65
"2002_05_GB_CHI","CHI",5,46
"2002_06_PIT_CIN","CIN",15,54
"2002_06_CAR_DAL","DAL",13,56
"2002_06_BUF_HOU","HOU",NA,NA
"2002_06_BAL_IND","IND",NA,NA
"2002_06_DET_MIN","MIN",NA,NA
"2002_06_GB_NE","NE",10,61
"2002_06_ATL_NYG","NYG",5,60
"2002_06_CLE_TB","TB",6,85
"2002_06_NO_WAS","WAS",4,65
"2002_06_KC_SD","SD",7,67
"2002_06_OAK_STL","STL",NA,NA
"2002_06_JAX_TEN","TEN",15,65
"2002_06_MIA_DEN","DEN",3,58
"2002_06_SF_SEA","SEA",6,64
